time slot,edge_cpu,iot_cpu
1286,0.85,0.46
1287,0.84,0.42
1288,0.84,0.9
1289,0.78,0.47
1290,0.91,0.9
1291,0.9,0.27
1292,0.9,0.12
1293,0.79,0.14
1294,0.91,0.12
1295,0.9,0.15
1296,0.91,0.24
1297,0.63,0.25
1298,0.44,0.2
1299,0.29,0.41
1300,0.43,0.41
1301,0.43,0.42
1302,0.44,0.39
1303,0.42,0.42
1304,0.41,0.5
1305,0.4,0.65
1306,0.67,0.6
1307,0.73,0.84
1308,0.73,0.83
1309,0.73,0.93
1310,0.75,0.84
1311,0.74,0.54
1312,0.74,0.59
1313,0.73,0.56
1314,0.55,0.6
1315,0.53,0.46
1316,0.54,0.68
1317,0.43,0.29
1318,0.31,0.41
1319,0.53,0.17
1320,0.53,0.51
1321,0.52,0.3
1322,0.61,0.4
1323,0.52,0.89
1324,0.34,0.92
1325,0.31,0.79
1326,0.34,0.79
1327,0.32,0.46
1328,0.33,0.71
1329,0.33,0.18
1330,0.44,0
1331,0.75,0.14
1332,0.77,0.74
1333,0.76,0.04
1334,0.77,0.36
1335,0.75,0.16
1336,0.76,0.16
1337,0.75,0.13
1338,0.57,0.08
1339,0.53,0.2
1340,0.53,0.22
1341,0.53,0.22
1342,0.56,0.5
1343,0.96,0.18
1344,1,0.23
1345,1,0.22
1346,1,0.16
1347,1,0.24
1348,1,0.35
1349,1,0.15
1350,1,0.16
1351,0.8,0.17
1352,0.34,0.19
1353,0.31,0.19
1354,0.35,0.3
1355,0.34,0.33
1356,0.33,0.55
1357,0.34,0.35
1358,0.33,0.35
1359,0.33,0.31
